#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      420.4   273.3   160.7   216.5   236.1   393.8   465.7   509.1   542.1   579.4   624.1   687.1   828.3  2888.4 12253.5  30153.8    30000
read      417.5   226.7   160.7   212.3   231.6   388.7   463.1   507.9   542.9   585.0   637.8   717.3   854.7  1978.2  9531.1  35010.8    35000
read      425.7   207.5   160.7   215.6   236.4   408.8   479.1   518.2   547.4   586.0   635.3   708.7   850.2  1227.8  7527.5  40094.2    40000
read      406.9   216.7   160.7   207.7   225.1   379.9   452.3   494.5   527.5   569.2   624.1   709.1   854.5  1760.3  6042.1  44756.2    45000
read      405.9   209.9   160.7   209.6   227.0   380.1   449.0   489.3   520.8   561.5   621.0   714.5   855.3  1269.1  8237.5  49885.0    50000
read      395.6   238.9   160.7   205.5   221.3   363.3   432.6   473.5   506.2   547.9   609.3   708.0   855.5  1645.3  9414.3  55126.2    55000
read      403.9   221.6   160.7   209.1   225.8   369.4   443.4   486.8   520.0   562.2   622.0   722.2   887.4  1671.5  8647.9  59937.2    60000
read      398.1   228.0   160.7   206.1   222.8   369.6   443.0   483.5   513.4   550.2   602.3   683.4   843.2  2077.7  8982.0  65093.2    65000
read      395.4   211.9   160.7   205.8   222.7   367.6   440.8   481.1   509.7   546.6   597.0   683.8   852.5  1271.0  9205.6  69825.8    70000
read      392.1   184.2   160.7   207.1   224.0   366.2   437.1   477.7   506.1   541.1   588.0   668.2   831.9  1173.8  6361.9  74902.0    75000
read      382.4   201.6   160.7   206.0   222.8   359.1   423.6   460.2   487.7   521.1   566.6   640.6   793.2  1069.1  6603.1  80154.2    80000
read      429.9   227.2   160.7   225.6   249.5   406.9   478.5   516.9   544.5   579.5   626.9   702.7   868.0  1335.1  9827.6  84884.8    85000
read      522.4   282.4   160.7   250.8   285.5   474.9   549.8   606.9   663.4   740.8   836.9   962.1  1183.0  1841.0  9443.4  90138.2    90000
read      663.9   339.2   160.7   360.6   416.8   563.1   761.4   883.7   934.8   979.6  1024.5  1082.5  1182.4  2057.3 15278.8  92323.0    95000
read      657.5   317.2   160.7   387.4   426.3   552.0   762.5   870.8   914.9   957.9  1000.1  1059.8  1162.1  1791.8 12481.0  95633.6   100000
read      686.0   475.7   160.7   410.4   443.1   577.3   779.7   893.6   945.8   991.9  1041.3  1095.2  1199.7  3120.7 15166.9  94646.8   105000
read      710.0   340.6   160.7   450.0   478.8   587.1   748.2   954.0  1005.9  1047.9  1086.5  1145.8  1245.4  2302.5 14129.9  91897.2   110000
