#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      414.9   232.6   160.7   213.9   233.1   388.6   459.7   502.8   535.5   574.8   624.2   689.9   828.5  2344.9  8478.5  29830.4    30000
read      409.8   242.6   160.7   212.2   231.1   382.8   452.1   494.5   527.6   568.1   621.3   696.4   824.5  1491.0  8717.1  34899.4    35000
read      418.6   221.6   160.7   212.3   231.4   394.3   465.3   506.5   539.2   579.7   633.5   718.2   872.3  1600.9  9359.5  39905.2    40000
read      410.9   207.3   160.7   209.9   228.2   389.5   458.1   497.8   528.8   568.3   622.9   702.5   841.0  1241.0  5889.6  44935.4    45000
read      412.7   219.9   160.7   209.2   227.6   392.5   462.6   499.9   528.9   565.6   619.2   701.2   855.3  1491.0  8591.0  50120.8    50000
read      408.7   218.0   160.7   206.9   223.8   381.1   455.3   497.5   530.0   571.3   629.9   726.8   875.7  1370.6  8976.5  54822.4    55000
read      399.8   238.3   160.7   207.4   224.8   372.7   443.1   482.4   511.3   549.3   603.9   689.5   841.4  1655.3 10588.0  59916.0    60000
read      398.8   247.4   148.8   207.4   224.0   363.8   434.6   476.8   509.3   551.4   611.2   705.4   873.3  2078.2 10359.8  64873.1    65000
read      401.6   242.5   148.8   206.0   223.2   376.5   450.3   490.0   518.9   553.1   600.8   678.5   843.5  1522.3 10064.4  69947.6    70000
read      407.1   211.9   160.7   210.5   228.4   376.6   450.1   492.0   523.0   561.1   614.5   712.7   892.2  1610.2  8345.0  74941.2    75000
read      395.9   192.8   160.7   210.4   228.4   371.2   439.1   477.9   506.2   541.2   588.5   672.0   834.1  1254.8  6254.5  80044.8    80000
read      404.1   211.8   160.7   215.6   234.7   378.6   445.3   483.6   511.8   547.1   595.6   684.2   851.5  1269.3  9041.3  84862.0    85000
read      412.8   209.3   148.8   223.2   245.6   392.3   456.5   491.9   517.9   549.4   593.5   668.0   821.3  1405.3  8252.1  89838.4    90000
read      452.9   216.9   160.7   240.9   270.7   426.5   496.5   538.9   572.0   612.4   665.1   741.2   872.7  1445.9  9813.4  95045.7    95000
read      548.7   318.7   160.7   259.1   304.0   485.1   582.4   692.8   760.0   822.8   883.7   952.1  1071.2  1885.4 11616.4  99416.0   100000
read      705.9   333.1   173.5   446.4   474.5   583.5   788.4   947.5   990.9  1033.4  1074.4  1131.3  1233.2  2398.7 12179.1  92340.0   105000
read      692.3   332.9   160.7   438.8   464.5   574.9   757.8   924.1   971.9  1012.7  1057.0  1104.0  1205.8  2795.5 12357.8  94162.8   110000
