#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      451.8   516.3   160.7   211.1   228.0   397.9   484.4   534.4   570.2   612.4   667.1   746.8   979.3  7147.3 21716.1  30046.0    30000
read      436.1   406.6   160.7   208.1   224.0   389.9   477.3   527.3   564.6   609.0   667.2   747.5   916.4  5057.7 15136.7  35166.8    35000
read      435.0   312.3   148.8   211.0   227.9   396.3   477.0   524.8   560.3   605.2   665.1   751.9   930.6  4746.3  8690.6  40143.7    40000
read      445.0   435.5   160.7   212.2   229.9   401.8   485.8   531.9   567.2   611.0   671.8   773.4   962.4  5248.5 15389.6  44922.8    45000
read      432.4   415.8   160.7   208.0   224.2   388.2   469.3   514.5   548.6   591.4   653.7   760.7   942.2  5433.6 10110.4  49877.8    50000
read      426.3   414.3   160.7   208.1   223.6   371.3   450.0   498.5   535.6   582.0   649.7   766.1   939.0  6147.6 12811.5  55053.2    55000
read      428.6   454.3   148.8   208.7   224.9   373.2   450.5   497.2   532.0   575.6   637.5   747.4   971.7  7124.3 13611.6  59959.6    60000
read      442.8   433.2   160.7   210.9   228.7   391.0   472.0   518.1   550.6   592.8   655.2   774.0  1059.4  5922.8 12433.7  65055.6    65000
read      432.9   488.3   160.7   208.0   225.8   381.9   460.8   503.6   535.9   575.6   629.5   725.0   976.1  6334.4 20507.5  69942.8    70000
read      413.5   288.5   160.7   209.4   226.8   377.1   451.2   493.0   523.7   561.1   614.2   712.2   916.5  3999.4  8593.5  75021.7    75000
read      431.5   328.7   160.7   213.7   233.1   392.9   466.2   508.4   541.3   582.7   640.7   747.1   972.6  4529.9 11982.5  79804.2    80000
read      436.9   337.2   148.8   214.8   236.8   401.5   473.2   513.9   545.5   585.3   639.0   741.7   976.4  4639.1 11839.6  85079.2    85000
read      443.6   338.3   160.7   218.9   242.0   405.1   475.5   518.3   551.3   597.9   667.6   779.7  1003.8  4018.9 10227.2  89968.6    90000
read      566.6   502.6   160.7   258.9   302.9   495.0   593.7   685.1   748.0   813.6   889.8   993.0  1166.9  5876.8 17412.9  94929.8    95000
read      524.2   384.3   160.7   249.7   286.9   468.7   552.5   619.7   673.9   739.8   823.3   930.9  1088.9  5014.7 15368.7  99935.4   100000
read      640.5   418.4   160.7   354.7   389.0   562.8   712.4   783.8   836.7   896.1   960.0  1029.8  1165.2  4776.6 19082.5 100064.2   105000
read      684.8   405.8   173.5   402.9   430.9   578.5   787.6   870.1   916.1   966.2  1023.5  1093.8  1243.2  5590.6 10652.9  95324.7   110000
