#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      431.4   370.9   160.7   208.8   224.6   383.4   473.1   524.2   560.1   602.9   657.5   736.5   903.7  5268.4 10497.7  29823.8    30000
read      434.0   353.1   160.7   207.8   224.0   391.2   473.1   521.3   556.6   600.7   661.7   754.2   927.9  5165.4 10028.3  34958.8    35000
read      441.7   513.2   160.7   206.2   222.5   390.0   474.0   521.2   556.7   601.5   661.2   749.6   980.3  6444.2 28661.1  39821.2    40000
read      436.7   412.4   160.7   207.6   223.8   389.0   473.0   521.9   559.3   605.9   672.5   773.3   948.7  5427.9 17082.4  45008.0    45000
read      439.0   462.3   160.7   207.3   224.2   391.0   471.6   516.6   550.5   593.8   657.6   752.6   957.5  7277.8 17583.3  49967.4    50000
read      429.3   402.1   160.7   207.2   223.3   381.2   462.9   507.6   541.5   584.5   644.7   762.8   988.1  5815.6 12639.5  54888.4    55000
read      431.2   347.1   160.7   208.0   224.8   387.3   469.9   515.6   548.2   589.9   650.1   764.5   993.6  4373.0 11961.5  59955.0    60000
read      435.9   503.7   160.7   206.3   223.6   384.5   464.8   508.0   541.9   584.8   645.7   753.6   998.9  6920.4 23236.7  65024.8    65000
read      442.6   404.8   160.7   212.3   232.8   405.9   489.3   533.4   565.0   602.9   657.1   747.1   950.5  4509.8 15715.5  69841.2    70000
read      454.8   417.0   160.7   214.7   236.5   411.3   490.5   534.3   567.8   609.7   669.9   773.9  1063.0  5331.9 11033.0  75079.6    75000
read      427.3   394.1   160.7   210.5   229.6   385.5   459.0   499.9   530.8   569.6   626.8   734.0   976.7  5159.6 11626.5  80252.4    80000
read      418.2   338.4   160.7   212.3   231.0   377.7   447.5   489.1   520.5   560.6   619.8   725.8   936.5  4626.0  9985.6  85041.4    85000
read      446.0   436.1   160.7   216.5   238.8   396.9   467.6   509.5   544.5   590.9   659.0   770.2  1023.9  6340.6 14462.9  89395.8    90000
read      533.3   381.6   160.7   241.8   280.5   480.4   561.3   621.5   676.7   751.0   857.7   981.5  1146.3  4860.0 12716.3  95004.6    95000
read      588.1   418.0   160.7   298.5   340.8   525.2   656.0   724.3   767.7   814.9   874.5   968.2  1132.9  5110.0 16035.6  99060.2   100000
read      671.6   403.2   160.7   398.2   439.8   560.7   693.1   855.0   926.5   979.2  1029.0  1087.7  1218.4  5951.2 12944.5  95445.2   105000
read      673.4   552.5   160.7   390.1   423.2   552.9   719.7   838.2   901.0   957.4  1008.4  1074.3  1218.0  8160.0 22059.4  96927.8   110000
