#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      438.7   238.4   148.8   213.4   233.7   405.1   485.5   530.7   566.1   621.6   691.9   786.2   944.0  1688.9  8861.8  29966.3    30000
read      431.3   301.3   160.7   213.5   232.7   391.1   471.5   521.2   557.0   606.8   679.6   773.2   921.5  2500.9 11818.0  34955.6    35000
read      437.0   242.1   160.7   212.3   232.0   400.2   484.9   532.1   570.0   624.9   694.8   790.2   940.8  1576.3  8136.8  40030.8    40000
read      437.4   292.4   148.8   210.0   229.3   408.2   490.6   536.2   572.1   621.7   685.6   773.6   926.4  1482.2  9576.1  44912.4    45000
read      425.2   332.4   148.8   205.5   222.9   384.6   467.3   513.2   547.1   597.5   671.4   771.4   967.3  4315.8 11966.4  49954.0    50000
read      422.0   269.0   148.8   205.1   222.5   385.6   471.8   518.5   552.0   598.5   667.4   765.4   938.2  1383.5 10651.5  55141.0    55000
read      412.1   297.9   148.8   202.7   219.5   370.4   452.6   499.4   534.4   581.2   652.2   757.6   952.1  1692.9 12673.7  60024.8    60000
read      400.4   270.4   148.8   203.1   218.8   360.2   437.4   483.7   518.2   560.6   627.6   733.3   916.1  2041.7 10105.6  65105.0    65000
read      409.1   237.0   148.8   205.0   222.2   375.6   453.5   499.3   533.6   577.4   636.4   734.3   918.4  1342.0  9141.3  70009.4    70000
read      408.8   289.8   148.8   204.5   222.2   373.4   451.7   496.5   529.1   570.0   628.6   728.1   924.6  1404.5  9285.1  74742.8    75000
read      411.9   250.6   148.8   206.2   224.6   378.2   454.9   498.4   531.4   573.4   631.3   722.8   954.9  1462.0  8941.1  79855.0    80000
read      390.0   214.8   148.8   206.8   224.0   360.7   427.9   467.0   497.6   535.1   588.0   677.1   840.3  1217.2  9938.8  85101.6    85000
read      410.6   252.9   148.8   214.3   235.1   380.7   447.4   487.7   518.5   558.6   618.0   705.4   868.5  1532.9  9971.5  90015.4    90000
read      469.4   259.0   148.8   232.4   263.7   433.0   505.6   551.9   596.0   653.2   726.1   833.2   999.6  1281.7 11134.6  94892.4    95000
read      614.1   306.1   148.8   336.3   382.4   533.6   662.0   779.8   841.3   898.3   955.1  1021.1  1142.8  1850.6 11908.1  98921.6   100000
read      612.4   337.5   148.8   288.2   351.0   544.5   621.3   730.6   830.5   929.6  1010.5  1083.4  1182.6  1672.6 13836.2  98839.6   105000
read      675.3   340.6   160.7   413.7   446.3   569.9   709.8   867.7   939.0   992.4  1045.4  1099.3  1215.5  2540.2 12550.1  96408.8   110000
