#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      234.6   334.1    74.4   119.3   132.8   207.1   241.7   262.0   276.6   294.9   317.8   350.4   434.6  4813.6 12093.0  30040.3    30000  1684425692244  1684425702370
read      234.9   410.6    74.4   116.6   129.3   200.3   234.1   253.8   268.9   287.0   309.9   342.5   465.3  6383.7 19054.4  30038.2    30005  1684425703877  1684425714001
read      232.9   327.5    74.4   119.4   132.3   202.9   237.4   258.3   273.5   292.3   315.5   349.2   469.3  4852.5 12549.0  29984.7    30010  1684425715506  1684425725609
read      225.9   326.8    74.4   118.6   130.9   197.6   230.8   250.9   266.5   285.5   309.7   343.4   432.2  5183.9 10979.5  29972.0    30015  1684425727118  1684425737224
read      237.4   408.5    74.4   118.8   131.1   198.9   232.8   253.4   269.7   289.1   313.6   349.7   585.1  6510.8 14501.3  30010.3    30020  1684425738732  1684425748837
read      222.9   280.9    74.4   118.7   131.1   199.7   232.5   252.0   266.9   284.4   306.6   338.3   415.9  3909.5 10950.0  30051.6    30025  1684425750344  1684425760453
read      233.2   373.2    74.4   119.5   131.1   193.8   225.8   245.4   261.2   280.9   306.4   343.5   712.8  6176.3 12789.8  29975.3    30030  1684425761958  1684425772061
read      222.5   258.6    80.4   119.0   130.9   196.6   229.1   248.7   263.7   281.6   304.7   337.8   445.4  4081.0  8303.4  29972.9    30035  1684425773566  1684425783668
read      216.8   251.2    74.4   118.3   130.1   193.2   224.2   242.7   257.4   275.2   298.3   331.8   407.6  3971.9  8683.3  29971.8    30040  1684425785176  1684425795282
read      214.9   189.2    74.4   116.3   128.6   197.6   231.7   251.4   266.3   284.1   307.5   341.0   416.6  2152.0  7987.4  30035.0    30045  1684425796790  1684425806897
read      209.2   178.7    74.4   115.8   127.9   193.9   226.3   244.5   257.9   273.9   295.2   326.0   393.6  1688.7  8507.1  30043.9    30050  1684425808403  1684425818517
read      202.5   156.0    74.4   116.3   127.3   186.8   217.5   234.8   248.8   265.5   286.9   317.2   388.4  1445.6  7699.4  30022.9    30055  1684425820025  1684425830138
read      218.6   164.2    74.4   118.3   131.4   207.3   240.3   258.1   271.0   286.8   306.9   336.9   404.1  1399.1  8257.7  29997.1    30060  1684425831643  1684425841747
read      213.6   152.0    74.4   118.8   131.2   199.5   232.3   251.1   265.3   282.1   304.2   336.9   411.9  1248.6  7526.8  30067.3    30065  1684425843256  1684425853357
read      211.6   171.2    74.4   116.7   129.0   195.2   227.3   246.1   260.4   277.3   300.1   335.0   411.4  1853.1  7432.7  30041.1    30070  1684425854864  1684425864973
read      213.2   165.7    74.4   118.6   130.6   197.7   230.5   249.4   263.6   280.4   302.8   335.6   403.2  1756.6  7668.8  30021.4    30075  1684425866479  1684425876583
read      212.2   206.9    74.4   117.2   129.4   195.4   228.4   247.3   261.3   277.7   298.7   329.9   395.4  1915.9  8135.9  30102.1    30080  1684425878090  1684425888199
read      215.1   190.0    80.4   117.5   130.2   200.0   232.4   250.8   264.8   281.2   302.9   335.7   402.9  2069.3  8083.4  30202.0    30085  1684425889707  1684425899815
read      210.0   176.5    74.4   117.2   128.8   195.3   227.8   246.3   259.8   275.1   295.7   325.4   396.9  1637.8  8355.3  30016.9    30090  1684425901324  1684425911436
read      205.6   184.0    74.4   117.0   128.4   189.4   220.7   238.6   252.7   269.6   291.1   321.0   391.3  1409.0  9461.0  30092.3    30095  1684425912945  1684425923052
read      210.0   188.5    74.4   116.9   128.5   194.2   226.8   245.5   259.4   275.6   296.9   327.6   395.6  1811.4  8785.7  30133.7    30100  1684425924558  1684425934663
read      214.6   187.0    74.4   118.8   131.0   200.3   232.1   250.2   263.8   279.9   301.1   332.4   401.0  1907.3  8128.5  30176.9    30105  1684425936171  1684425946279
read      214.1   182.6    74.4   119.1   131.2   199.3   231.5   249.8   263.4   279.3   300.2   331.7   400.8  1788.5  8393.3  30146.3    30110  1684425947788  1684425957895
read      221.0   182.7    74.4   119.1   132.3   209.7   242.7   260.7   273.2   289.1   308.8   337.9   402.3  1798.6  7931.3  30137.5    30115  1684425959402  1684425969515
read      211.2   170.4    74.4   116.9   129.2   197.1   229.0   246.9   260.3   275.7   296.5   327.1   395.7  1850.7  7876.1  30107.3    30120  1684425971021  1684425981125
read      205.4   169.2    74.4   116.9   128.1   189.4   220.7   238.3   251.9   268.4   289.6   319.2   388.8  1766.7  7812.0  30138.9    30125  1684425982632  1684425992739
read      204.9   169.4    74.4   115.7   126.9   188.3   220.0   237.6   251.7   268.6   290.4   320.9   392.3  2117.1  8022.7  30124.2    30130  1684425994246  1684426004352
read      219.4   171.6    74.4   118.1   131.3   206.8   240.1   258.7   272.1   288.6   309.2   339.2   401.9  1778.5  7868.1  30192.6    30135  1684426005860  1684426015968
read      209.9   169.0    74.4   114.6   126.5   193.8   227.1   245.9   259.8   275.8   296.8   328.1   399.2  2194.1  7363.6  30092.5    30140  1684426017475  1684426027585
read      201.0   164.6    74.4   114.6   125.2   184.8   215.5   233.3   247.7   264.8   286.0   315.3   379.3  1630.1  8041.0  30093.1    30145  1684426029096  1684426039203
read      204.1   180.9    74.4   114.5   125.5   186.7   218.2   235.7   250.0   267.2   288.9   319.2   389.2  2187.9  8137.8  30053.1    30150  1684426040712  1684426050822
read      213.3   167.1    74.4   118.8   131.2   200.5   232.3   250.2   263.5   278.9   298.8   329.5   396.9  1280.5  8128.1  30276.0    30155  1684426052332  1684426062430
read      207.8   160.0    74.4   116.5   128.5   194.0   225.4   242.9   256.0   272.2   293.4   323.4   393.4  1451.0  7788.7  30138.9    30160  1684426063937  1684426074047
read      217.8   199.9    74.4   117.7   130.3   203.0   236.7   255.6   269.5   286.0   306.6   337.5   412.9  1934.4 10396.2  30079.0    30165  1684426075552  1684426085659
read      214.8   166.2    74.4   118.1   130.7   202.8   234.9   252.9   266.3   281.9   301.9   332.8   398.7  1370.0  8133.9  30140.8    30170  1684426087167  1684426097275
read      208.3   182.2    80.4   115.9   128.0   193.0   224.8   242.6   255.8   272.3   293.3   323.2   396.5  1664.0  8104.0  30108.1    30175  1684426098782  1684426108883
read      213.6   150.2    74.4   118.4   131.2   202.3   233.3   250.6   263.4   278.3   298.3   329.3   395.2  1371.2  6241.7  30043.9    30180  1684426110389  1684426120500
read      199.9   166.8    74.4   114.2   125.0   183.2   213.9   231.7   245.4   262.1   284.0   315.5   385.2  1635.4  7672.1  30170.2    30185  1684426122006  1684426132118
read      210.8   204.0    74.4   116.3   128.5   194.6   225.9   244.2   258.0   274.7   296.8   330.5   403.8  1536.0  8622.3  30224.2    30190  1684426133622  1684426143728
read      210.6   152.4    80.4   118.1   129.8   196.0   227.9   246.0   259.6   275.5   297.0   329.4   399.2  1808.4  7584.8  30150.0    30195  1684426145238  1684426155339
read      215.5   172.6    74.4   118.7   131.3   204.0   235.7   253.4   266.4   281.3   300.4   328.6   396.2  1271.6  8062.8  30152.3    30200  1684426156847  1684426166952
read      205.7   171.7    74.4   115.7   127.5   190.7   222.3   239.8   252.8   269.1   289.6   318.1   384.0  1917.9  7896.7  30248.8    30205  1684426168459  1684426178565
read      223.7   198.6    74.4   119.3   133.0   210.9   244.5   262.9   275.4   291.8   312.3   342.2   411.8  1972.7  8966.1  30250.1    30210  1684426180072  1684426190183
read      211.0   208.8    74.4   118.5   130.3   195.0   226.1   244.1   257.7   273.9   295.1   326.8   401.7  1704.8 10199.3  30212.0    30215  1684426191688  1684426201792
