#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      200.9   172.8    74.4   112.2   122.4   181.7   213.3   232.8   249.0   269.0   293.7   328.2   414.0  1492.0  8085.7  30038.7    30000  1684501272212  1684501282351
read      207.0   216.0    74.4   111.6   121.5   181.7   214.6   234.9   251.7   271.5   295.7   334.3   471.9  3442.6  8078.8  30002.6    30005  1684501283859  1684501293973
read      258.5  1520.7    74.4   110.4   120.3   183.7   220.2   244.1   263.7   287.0   316.0   373.7   871.2  7653.2 103175.9  29989.6    30010  1684501295482  1684501305588
read      212.8   347.0    74.4   111.0   120.2   176.1   207.5   228.1   244.9   266.0   291.2   328.8   512.5  5293.4 10239.6  30017.7    30015  1684501307093  1684501317196
read      211.4   378.6    74.4   106.7   115.2   169.8   201.7   223.0   239.7   261.3   286.9   322.1   507.0  6212.6 11246.3  30022.9    30020  1684501318702  1684501328804
read      210.6   363.3    74.4   110.3   118.7   172.2   204.1   225.7   242.6   263.6   288.2   323.5   476.6  5627.7 12277.7  30002.8    30025  1684501330314  1684501340423
read      209.6   347.1    74.4   110.1   118.4   169.9   200.8   223.0   241.0   264.8   292.2   333.4   534.1  6075.2 12252.0  29957.6    30030  1684501341933  1684501352039
read      221.6   442.3    74.4   111.0   120.0   175.5   208.6   230.4   248.3   270.1   295.4   334.9   639.6  7202.0 16450.5  30030.6    30035  1684501353547  1684501363655
read      205.6   348.2    74.4   110.3   118.8   170.6   201.0   221.9   238.2   259.2   283.9   317.3   433.6  5555.4 12688.9  30084.0    30040  1684501365163  1684501375274
read      250.8   797.3    74.4   110.7   120.0   177.1   210.0   231.3   249.0   270.8   297.3   345.0  1981.1  8718.3 30107.3  30017.4    30045  1684501376781  1684501386884
read      212.7   396.7    68.9   107.7   116.4   170.8   201.6   223.0   239.3   260.5   286.0   323.8   603.4  6364.8 15162.9  30025.4    30050  1684501388393  1684501398500
read      211.2   324.3    74.4   111.8   121.5   177.5   208.9   229.4   246.3   267.2   292.1   331.4   468.8  5302.4 10657.1  30043.7    30055  1684501400010  1684501410109
read      210.8   358.3    74.4   110.5   119.2   173.2   204.8   226.0   242.5   263.4   288.3   325.7   487.9  5843.7 10820.4  30158.0    30060  1684501411615  1684501421717
read      203.0   282.0    74.4   110.0   118.9   172.9   204.9   226.5   243.5   265.1   290.1   326.8   445.4  4676.8 10243.2  30077.0    30065  1684501423224  1684501433327
read      201.6   204.4    74.4   112.5   122.6   180.8   212.3   232.1   248.2   267.3   290.8   325.7   426.6  1916.7  8543.1  30175.8    30070  1684501434837  1684501444946
read      197.9   187.0    74.4   110.2   119.5   176.4   208.0   228.7   244.9   264.4   288.0   322.3   421.3  2240.9  7924.7  30047.9    30075  1684501446455  1684501456565
read      198.7   165.8    74.4   110.9   120.6   178.2   210.3   230.8   247.1   266.7   290.4   326.1   419.2  2057.7  7707.6  30032.1    30080  1684501458073  1684501468187
read      203.9   199.8    74.4   113.4   123.9   183.8   215.1   234.0   249.6   268.1   290.9   327.0   422.5  1893.4  8733.9  30076.6    30085  1684501469693  1684501479806
read      197.1   179.9    74.4   109.8   119.6   177.7   209.0   228.8   244.4   263.4   286.2   319.5   403.7  1732.7  7702.0  29950.3    30090  1684501481315  1684501491424
read      201.9   187.8    74.4   111.0   121.4   181.4   213.6   233.5   249.8   269.2   293.2   330.4   425.4  1919.6  7930.5  30153.0    30095  1684501492932  1684501503041
