#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      187.4   194.6    68.9   107.5   116.2   167.9   195.6   213.9   228.8   247.5   271.2   304.0   371.3  1831.1  8084.8  29992.2    30000  1684767779703  1684767789833
read      190.1   151.3    74.4   109.6   118.5   172.5   201.6   220.6   234.7   253.2   275.4   308.1   370.5  1430.8  6804.8  30016.0    30005  1684767791340  1684767801458
read      209.9   324.3    68.9   110.5   119.5   172.7   202.6   222.5   237.1   256.3   281.2   318.9   723.6  5197.6 10013.3  29997.5    30010  1684767802966  1684767813070
read      209.3   342.6    68.9   109.6   118.6   173.1   202.8   222.8   238.1   259.0   285.3   319.9   500.0  5782.8 10010.5  30108.3    30015  1684767814575  1684767824679
read      204.7   346.5    74.4   110.5   119.6   171.6   199.4   217.9   233.1   253.1   279.4   315.5   429.5  5890.1 11872.7  29951.2    30020  1684767826187  1684767836301
read      221.5   487.3    74.4   109.8   118.6   170.1   198.6   217.8   233.7   254.3   280.8   316.8   835.9  7082.9 18715.2  29933.1    30025  1684767837811  1684767847914
read      206.0   310.4    74.4   111.2   120.6   174.5   203.8   223.4   238.5   259.1   285.4   319.5   431.1  5183.4 11834.2  29987.0    30030  1684767849424  1684767859525
read      207.8   309.7    74.4   110.0   119.6   175.8   204.9   223.7   238.4   258.6   284.2   318.1   438.4  4927.4  9130.7  30031.9    30035  1684767861031  1684767871135
read      205.2   357.2    74.4   107.1   116.5   170.1   199.1   218.6   234.2   254.3   280.0   315.4   432.3  5765.2 15022.6  30075.8    30040  1684767872643  1684767882745
read      220.2   398.8    74.4   110.2   120.5   181.3   212.7   232.2   248.9   270.0   296.5   333.4   579.9  5678.4 15317.3  30115.8    30045  1684767884252  1684767894359
read      226.4   434.3    74.4   110.7   120.3   177.0   208.2   228.3   244.3   264.4   289.9   328.9  1082.0  7028.0 15391.5  30019.7    30050  1684767895867  1684767905971
read      203.2   326.6    74.4   109.5   118.2   171.1   200.4   219.7   234.9   254.8   280.3   313.9   406.0  4965.3 12674.5  30009.0    30055  1684767907476  1684767917585
read      198.5   306.8    74.4   110.1   118.9   170.0   197.9   216.5   231.6   250.7   274.6   308.8   389.9  4753.5 13249.5  30031.2    30060  1684767919091  1684767929192
read      204.8   331.4    74.4   110.0   119.2   172.4   201.1   220.0   235.0   255.4   281.7   315.7   414.0  5629.3 12345.9  29978.5    30065  1684767930700  1684767940807
read      196.8   180.7    68.9   109.5   118.7   175.1   205.8   225.8   241.9   262.7   287.9   321.1   415.6  2227.8  7903.5  29954.6    30070  1684767942316  1684767952424
read      186.9   194.1    74.4   107.8   116.3   167.3   194.8   213.0   227.3   245.6   269.2   301.2   370.0  2020.0  8114.5  30022.6    30075  1684767953933  1684767964042
read      189.9   181.8    74.4   108.4   117.0   170.7   199.9   218.7   233.6   252.7   276.1   308.0   370.3  1582.6  8332.2  30145.2    30080  1684767965549  1684767975656
read      190.9   167.7    74.4   109.7   118.8   172.4   200.9   219.6   234.0   252.6   275.5   308.0   371.8  1659.3  8372.3  30048.4    30085  1684767977162  1684767987269
read      188.7   203.1    68.9   107.7   116.6   169.5   197.4   215.5   230.1   248.4   271.3   301.5   367.7  2093.0  8498.7  30134.9    30090  1684767988776  1684767998878
read      195.3   195.3    68.9   108.8   118.1   175.6   206.5   225.8   240.5   259.5   282.7   314.6   393.1  1877.3  8563.8  30042.1    30095  1684768000387  1684768010510
read      191.4   216.5    74.4   107.5   116.5   170.6   200.4   219.5   234.0   252.8   276.0   309.1   374.0  2138.7  9832.7  30086.9    30100  1684768012014  1684768022121
read      186.3   177.4    68.9   107.0   115.7   166.7   194.6   213.4   228.6   247.9   271.7   303.8   368.2  1971.5  8135.0  30103.1    30105  1684768023627  1684768033738
read      189.8   172.4    74.4   108.1   117.2   170.9   200.3   219.3   234.2   253.8   278.9   311.9   377.6  1432.8  7973.0  30030.9    30110  1684768035245  1684768045349
read      195.8   190.3    74.4   110.3   120.0   177.3   206.8   225.3   239.8   258.9   282.5   314.4   377.7  1829.8  8193.4  30083.2    30115  1684768046857  1684768056962
read      193.0   176.0    74.4   108.5   117.8   175.1   205.9   224.8   238.9   257.4   280.3   311.4   370.9  1492.3  8271.8  30109.3    30120  1684768058469  1684768068579
read      189.4   199.9    74.4   108.8   117.7   170.6   198.8   216.8   231.0   249.3   272.1   303.1   367.0  1882.5  8779.4  30184.4    30125  1684768070084  1684768080193
read      186.5   188.3    68.9   105.5   114.3   167.0   195.1   213.4   228.1   246.8   270.2   300.9   367.3  1783.9  8331.7  30199.4    30130  1684768081702  1684768091808
read      188.0   180.2    74.4   107.7   116.6   169.8   198.4   216.9   231.3   249.7   272.3   302.3   361.5  1692.1  8233.7  30096.0    30135  1684768093315  1684768103419
read      191.7   189.2    68.9   110.4   119.4   172.6   201.0   219.2   233.7   252.5   275.6   307.8   368.5  1970.4  8783.4  30180.4    30140  1684768104926  1684768115023
read      189.7   183.0    74.4   109.9   118.5   170.5   199.5   218.1   232.7   251.5   274.5   306.3   369.2  1515.0  8107.0  30226.3    30145  1684768116529  1684768126638
read      187.0   185.8    74.4   108.1   116.6   168.7   196.7   215.2   229.6   247.7   270.6   300.8   363.4  1483.7  8313.6  30177.8    30150  1684768128144  1684768138255
read      189.6   197.4    74.4   107.2   116.3   170.5   198.9   216.8   231.0   249.3   272.0   303.8   369.6  2040.7  8723.2  30164.5    30155  1684768139767  1684768149879
