#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      258.1   201.5    80.4   137.4   152.2   237.3   279.4   303.4   320.4   342.4   371.1   421.4   545.9  2278.7  9835.8  29943.7    30000  1684255305241  1684255315373
read      270.4   250.1    86.8   143.0   159.6   249.8   292.4   316.2   333.9   355.1   384.4   433.3   563.3  2138.5 12354.2  29913.1    30005  1684255316880  1684255326999
read      272.3   217.0    80.4   145.7   162.4   252.1   293.8   317.4   335.4   357.2   387.2   436.6   570.1  2277.8 10166.5  30024.6    30010  1684255328507  1684255338613
read      263.9   189.7    86.8   145.5   161.1   245.4   286.1   308.9   325.4   345.4   373.1   421.0   542.0  1823.2  8138.1  30019.1    30015  1684255340122  1684255350224
read      284.6   239.2    86.8   148.3   165.6   263.1   309.4   335.1   354.2   377.9   411.7   465.5   592.0  1989.3 12067.1  29983.5    30020  1684255351733  1684255361835
read      269.1   202.5    86.8   141.1   157.9   248.6   292.6   317.2   335.7   358.1   389.0   441.1   565.9  2048.0  8621.7  30142.7    30025  1684255363340  1684255373450
read      264.3   217.6    86.8   139.8   155.4   243.2   286.4   311.2   329.1   350.1   379.0   428.6   549.9  2256.5  9340.0  29964.6    30030  1684255374959  1684255385062
read      265.5   210.0    86.8   144.3   159.8   244.7   286.1   309.6   326.7   347.5   377.7   429.9   567.4  2026.7  8570.6  30074.0    30035  1684255386569  1684255396677
read      266.8   195.9    80.4   141.4   157.6   246.9   290.5   315.1   333.2   355.1   385.3   435.5   567.7  1469.7  8750.5  30038.2    30040  1684255398187  1684255408294
read      266.0   196.9    86.8   140.1   155.7   244.5   288.5   313.7   332.4   354.9   386.0   437.3   567.5  1982.0  8780.5  30089.7    30045  1684255409799  1684255419906
read      271.1   216.9    86.8   142.8   159.4   250.6   294.9   319.4   338.1   360.5   390.7   441.9   575.2  1696.5 10434.6  30007.4    30050  1684255421412  1684255431514
read      257.4   209.4    86.8   141.5   155.6   233.1   273.8   298.0   316.6   339.4   369.7   423.8   571.8  2236.6  9564.2  30162.1    30055  1684255433024  1684255443133
read      261.7   200.4    86.8   144.1   159.2   240.4   281.2   305.1   321.9   343.6   373.3   425.8   548.7  2015.0 10139.5  30046.1    30060  1684255444645  1684255454750
read      268.8   228.0    86.8   146.4   161.5   246.7   289.4   313.4   331.3   353.0   383.3   433.6   566.8  2389.2 10243.4  30100.6    30065  1684255456260  1684255466367
read      280.9   231.0    86.8   148.4   164.7   258.6   304.0   329.4   347.6   371.8   403.6   458.6   586.2  2557.3  9981.4  30152.0    30070  1684255467873  1684255477975
read      262.8   193.9    86.8   141.8   157.2   242.1   285.1   309.5   327.3   348.5   378.5   430.0   557.2  1708.9  8073.6  30064.4    30075  1684255479481  1684255489589
read      268.9   179.3    86.8   145.2   161.2   249.3   292.3   316.7   335.1   357.3   387.6   439.1   567.5  1377.1  8097.9  30163.6    30080  1684255491099  1684255501206
