Timestamp start: 1684486395589
Timestamp end: 1684487236005

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      300.6   203.8    86.8   137.7   153.3   276.8   338.0   373.2   399.3   430.9   469.0   529.0   661.2  1713.1  7922.0  54322.2    54356
read      354.3   568.1    80.4   138.3   154.2   285.4   353.2   395.5   428.3   467.3   521.5   634.8  1611.8  6957.9 25493.2  47745.0    47600
read      287.5   268.7    80.4   128.5   141.5   242.8   304.2   345.6   378.0   415.0   456.4   508.5   909.9  3417.5  7384.2  45089.4    45196
read      308.3   366.8    80.4   135.1   150.3   266.1   329.1   367.0   395.7   430.8   476.0   546.6   763.4  4035.9 10368.5  98309.8    98387
read      288.3   300.4    80.4   130.8   144.6   251.1   309.4   343.2   369.3   400.1   440.2   500.2   688.2  3828.5  9092.7  92196.4    92201
read      290.0   248.4    80.4   129.5   143.2   253.0   311.2   346.9   375.5   411.1   455.9   515.9   809.6  3536.5  8376.6  56681.8    56780
read      312.9   478.9    80.4   131.5   145.7   259.6   324.5   365.1   396.5   434.0   479.2   545.7  1052.7  5817.4 15712.1  45557.4    45557
read      300.7   371.6    80.4   131.8   146.0   256.1   316.4   352.1   379.4   413.0   456.9   525.0   838.5  4437.9 11676.6  91016.4    91080
read      303.9   317.0    86.8   131.0   144.8   255.7   327.3   369.1   398.8   433.3   472.6   537.8   942.9  3594.7  8995.6  35664.0    35631
read      283.6   238.1    80.4   131.4   145.5   251.6   308.5   341.8   367.7   398.9   440.6   502.6   675.9  2787.5  6919.2  89283.0    89411
read      284.2   280.0    80.4   130.2   143.8   248.3   306.0   339.7   365.4   396.9   438.5   501.6   686.4  3231.4  9656.7  93122.8    93240
read      281.6   229.9    80.4   127.8   140.6   242.3   304.3   344.4   375.8   412.8   454.3   506.8   772.3  2412.5  8983.8  45798.6    45787
read      281.9   341.4    80.4   128.4   141.4   246.9   302.3   335.8   362.0   395.0   438.1   497.9   690.4  2766.9 11583.7  65255.0    65269
