#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      271.2   251.8    80.4   158.0   177.9   254.0   282.9   298.2   311.5   326.5   345.9   378.0   491.4  4307.0  8065.5   4974.7     5000  1684933201429  1684933206830
read      304.7   307.7    74.4   138.1   161.7   283.7   336.3   365.5   385.4   406.8   434.0   474.4   581.5  3980.7 16279.9   9925.8    10000  1684933208334  1684933213686
read      317.8   252.6    74.4   128.1   149.0   294.4   364.1   402.5   427.1   453.6   485.2   533.9   651.8  3368.2  9323.2  14968.7    15000  1684933215190  1684933220482
read      338.6   294.3    74.4   123.0   141.7   307.4   396.0   446.0   477.9   513.4   555.8   620.0   777.6  3042.0 10883.2  19853.2    20000  1684933221986  1684933227275
read      340.4   240.4    74.4   120.3   136.9   293.5   399.4   463.4   508.1   552.6   604.8   681.4   857.7  1477.4  8716.6  24905.2    25000  1684933228778  1684933234071
read      359.3   310.0    74.4   119.8   136.7   277.1   404.5   494.2   557.8   618.4   687.7   796.8   999.7  1765.3 10583.3  29945.4    30000  1684933235574  1684933240868
read      367.7   289.4    74.4   120.9   137.7   264.6   392.2   496.7   583.0   664.7   757.2   893.0  1096.0  1426.9  8112.1  34987.0    35000  1684933242371  1684933247675
read      365.4   310.7    68.9   119.0   135.4   253.3   366.8   469.4   574.8   678.5   791.6   937.4  1148.7  1436.3  9138.5  40057.2    40000  1684933249179  1684933254456
read      372.0   341.4    74.4   119.6   135.6   248.4   342.0   439.0   561.8   708.5   869.9  1030.9  1242.5  1597.3  9554.9  44868.2    45000  1684933255959  1684933261243
read      378.3   378.3    68.9   119.7   135.8   248.4   328.8   413.3   526.5   715.3   923.3  1107.9  1371.9  1993.3 11804.4  50095.6    50000  1684933262746  1684933268025
read      381.9   389.8    68.9   119.6   135.3   246.1   317.5   390.4   475.3   712.9   985.2  1190.5  1485.1  1902.8 11415.6  54907.7    55000  1684933269528  1684933274813
read      364.8   380.2    68.9   117.7   132.2   230.4   292.2   353.3   425.6   647.8   964.9  1193.1  1494.1  2138.2 10226.1  60212.8    60000  1684933276317  1684933281592
read      358.9   377.5    68.9   115.9   130.3   225.6   287.2   345.5   412.3   599.7   943.3  1201.7  1572.9  2064.4  8239.3  64769.4    65000  1684933283097  1684933288374
read      347.5   386.1    68.9   113.5   127.5   218.2   275.9   327.5   388.2   531.6   889.4  1199.8  1601.5  2035.5 11666.9  69958.4    70000  1684933289877  1684933295171
read      339.3   392.8    68.9   112.3   125.5   211.9   265.4   313.3   369.8   494.1   828.7  1202.4  1638.7  2314.6 10292.6  74936.4    75000  1684933296676  1684933301975
read      337.0   400.6    68.9   112.7   125.8   209.1   258.6   298.0   344.6   443.7   815.2  1261.9  1724.2  2325.8  9734.5  80095.8    80000  1684933303479  1684933308763
read      344.9   421.0    68.9   113.9   127.9   212.2   263.9   304.3   346.9   432.2   778.7  1322.4  1883.1  2720.7 10814.6  84935.7    85000  1684933310266  1684933315547
read      349.6   479.6    63.8   114.7   128.9   213.0   262.5   297.0   331.9   395.9   776.9  1392.0  1991.9  3259.9 15156.4  89876.8    90000  1684933317051  1684933322346
read      360.5   491.3    68.9   117.7   132.6   218.9   269.6   305.6   339.3   399.6   769.4  1442.3  2134.8  3881.7 10069.5  94765.8    95000  1684933323849  1684933329130
read      352.8   517.2    68.9   115.4   129.2   209.7   257.3   291.1   321.6   375.0   695.5  1474.4  2153.3  3766.6 17308.1 100025.3   100000  1684933330633  1684933335917
read      434.5  1002.1    68.9   122.8   139.3   231.5   288.9   326.3   357.5   400.4   495.8  1736.7  4020.0  7823.2 32293.3 104835.1   105000  1684933337419  1684933342704
read      642.1  2259.5    68.9   152.0   169.9   260.3   324.8   359.3   383.3   410.1   444.4   515.8 12256.2 31203.6 40586.5 108111.2   110000  1684933344207  1684933349499
read      669.6  2460.4    74.4   156.2   173.9   268.3   336.0   368.1   389.4   413.2   443.8   504.6 12582.8 31959.0 43309.5 108914.8   115000  1684933351004  1684933356282
read      675.1  2485.9    74.4   162.6   178.9   271.4   344.3   377.1   397.9   421.2   449.6   500.7 12691.6 31931.0 42247.9 109069.7   120000  1684933357785  1684933363070
read      684.4  2527.4    80.4   163.3   179.9   279.8   349.2   380.1   400.2   423.8   453.2   505.2 12680.8 31872.0 42433.0 108159.8   125000  1684933364573  1684933369850
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 75.49%,13.50%,100.00%
