#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      252.9   233.6    93.8   157.3   177.0   241.2   263.7   275.3   285.9   296.6   313.5   340.7   438.9  3235.1  9146.8   4986.2     5000  1684933407473  1684933412828
read      259.4   182.1    74.4   135.7   157.2   253.7   285.1   301.1   313.0   326.6   344.6   374.2   468.4  1966.0  8135.1  10081.6    10000  1684933414332  1684933419651
read      276.9   270.3    74.4   129.3   150.6   266.2   309.8   331.3   345.5   363.6   385.6   420.0   509.6  3164.8 10386.3  15025.0    15000  1684933421154  1684933426443
read      278.3   169.2    74.4   126.3   145.9   267.0   321.2   347.6   365.8   386.1   410.3   447.3   535.1   874.1  7939.8  19984.4    20000  1684933427947  1684933433234
read      280.5   286.1    68.9   121.2   138.8   262.8   319.8   351.2   371.9   395.6   424.1   464.7   555.9  1705.7  8956.9  25052.4    25000  1684933434737  1684933440022
read      281.3   189.1    68.9   121.0   137.7   262.0   322.6   357.3   381.9   409.5   440.8   485.9   593.2   996.3  6879.8  29899.6    30000  1684933441526  1684933446818
read      292.8   243.2    74.4   124.8   142.8   275.5   336.3   370.7   395.5   422.6   454.3   500.5   615.3  1140.5 11141.8  35071.6    35000  1684933448322  1684933453606
read      280.1   177.3    74.4   118.9   135.2   260.2   320.1   355.1   379.9   408.1   440.4   489.0   610.5  1208.9  6876.2  39970.2    40000  1684933455109  1684933460390
read      281.9   170.5    74.4   120.6   136.5   261.3   322.1   357.9   384.0   414.1   450.0   500.9   628.6  1110.8  5095.4  45064.2    45000  1684933461892  1684933467183
read      286.5   198.1    74.4   121.0   137.9   267.1   328.0   363.8   389.8   419.8   455.9   505.8   626.2  1126.3  6470.1  49930.4    50000  1684933468685  1684933473963
read      293.7   207.8    74.4   125.1   142.3   273.7   336.5   372.2   398.1   427.8   463.6   516.1   640.2  1194.3  8301.3  55011.3    55000  1684933475467  1684933480747
read      295.4   175.8    74.4   124.9   142.1   274.5   338.2   374.5   401.6   431.9   468.8   526.5   662.9  1546.2  5127.6  60030.9    60000  1684933482250  1684933487535
read      285.4   169.5    68.9   121.4   138.6   264.9   325.3   360.5   386.4   417.0   454.9   508.0   637.5  1333.4  5284.5  65242.3    65000  1684933489039  1684933494316
read      288.7   166.5    68.9   120.8   138.3   268.9   330.9   366.6   392.9   423.6   461.4   517.4   642.4  1078.5  5895.4  69966.6    70000  1684933495819  1684933501110
read      277.1   181.3    68.9   118.1   134.3   255.1   314.0   347.8   373.6   404.1   443.3   497.7   620.0  1414.4  5863.8  74714.4    75000  1684933502613  1684933507890
read      284.6   166.3    68.9   118.7   135.1   263.4   325.7   361.9   388.6   419.7   458.2   515.9   646.9  1026.3  6289.5  79887.6    80000  1684933509394  1684933514670
read      273.6   191.1    68.9   118.8   133.8   251.6   311.2   344.8   370.4   400.7   437.0   490.9   601.3  1530.3  8384.6  84953.2    85000  1684933516175  1684933521457
read      271.2   195.1    68.9   116.1   131.2   246.1   307.1   342.1   368.2   398.6   435.5   491.8   621.5  1547.4  6087.7  90044.4    90000  1684933522961  1684933528243
read      268.5   180.7    68.9   115.7   130.2   243.8   304.0   339.0   366.0   397.4   435.9   495.5   624.6  1222.3  5423.3  95131.5    95000  1684933529745  1684933535036
read      257.0   151.0    68.9   114.3   128.2   232.8   290.0   323.0   348.2   379.0   417.8   471.2   587.9   985.8  4855.5 100081.4   100000  1684933536540  1684933541830
read      263.6   158.9    68.9   115.8   130.5   238.4   297.3   332.4   358.8   390.5   430.4   489.5   604.8   855.0  5335.1 104959.6   105000  1684933543334  1684933548614
read      271.0   189.3    68.9   116.6   131.5   243.1   304.8   340.6   368.0   400.2   442.7   507.6   656.1   951.3  7924.5 110272.8   110000  1684933550117  1684933555388
read      261.3   161.0    68.9   115.9   130.6   233.8   293.1   328.9   355.9   387.6   426.9   484.6   597.3   942.7  5192.7 114722.5   115000  1684933556892  1684933562176
read      260.8   161.5    63.8   115.6   130.5   234.2   291.4   326.5   353.7   386.9   427.8   487.3   600.0   816.0  5278.6 120167.2   120000  1684933563679  1684933568977
read      259.6   168.9    68.9   116.3   131.3   233.1   289.0   323.7   350.5   382.7   422.7   478.4   589.7   935.9  6249.4 124812.4   125000  1684933570480  1684933575756
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 69.72%,2.50%,100.00%
