#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      382.3   492.9   101.3   183.7   223.5   354.4   400.0   425.3   443.2   464.9   494.5   540.7   679.5  7908.7 13868.6   4935.2     5000  1684946821646  1684946827008
read      410.4   329.3    93.8   162.9   194.3   388.7   464.9   503.7   532.0   565.3   608.7   677.3   888.9  3815.1 15656.9  10071.4    10000  1684946828514  1684946833857
read      436.7   292.2    86.8   151.0   176.2   394.8   498.0   563.2   610.9   664.4   733.4   880.3  1063.7  2680.0  9411.5  14932.6    15000  1684946835359  1684946840654
read      445.0   348.6    80.4   144.6   167.2   384.7   511.9   587.8   641.1   704.0   809.1   942.3  1155.4  2723.7 12914.0  20015.4    20000  1684946842157  1684946847447
read      465.6   381.2    80.4   143.0   164.0   362.4   504.9   604.4   688.1   810.6   954.9  1111.6  1367.7  3675.9 12027.0  25006.8    25000  1684946848950  1684946854239
read      475.8   428.7    80.4   141.4   162.4   340.3   484.0   599.4   709.1   880.0  1043.3  1224.5  1496.7  3385.2 12907.6  30068.6    30000  1684946855742  1684946861020
read      464.0   420.3    80.4   138.2   157.8   323.9   464.4   583.2   696.6   869.5  1039.3  1226.0  1512.2  2197.1 12311.5  35053.0    35000  1684946862523  1684946867807
read      462.9   423.4    80.4   138.0   157.8   315.7   438.5   548.1   672.2   880.2  1085.2  1300.5  1600.7  2054.1 11661.1  40036.4    40000  1684946869310  1684946874590
read      457.3   412.8    80.4   136.1   155.4   304.4   424.4   535.7   650.3   855.2  1076.7  1323.6  1736.3  2347.7  9768.0  44940.4    45000  1684946876094  1684946881375
read      440.5   415.9    74.4   135.6   153.6   286.6   387.9   488.6   596.2   816.0  1071.2  1333.5  1734.0  2312.3  9979.4  50161.2    50000  1684946882879  1684946888170
read      431.0   445.3    74.4   134.9   152.5   278.4   368.8   454.2   549.9   734.7  1037.4  1364.9  1816.9  2508.7 10755.0  54983.4    55000  1684946889673  1684946894949
read      437.7   473.2    74.4   133.8   152.4   287.9   383.4   464.1   547.6   701.1  1014.6  1401.0  1911.3  2719.7 15868.4  60001.2    60000  1684946896452  1684946901730
read      437.4   444.9    68.9   134.0   152.4   286.3   373.4   445.3   522.4   683.2  1047.1  1438.5  2007.9  2745.0 10514.0  64908.0    65000  1684946903233  1684946908516
read      415.7   424.8    74.4   131.3   149.3   273.9   356.5   422.3   488.7   622.3   970.9  1388.4  1920.7  2991.2  9374.6  69690.8    70000  1684946910019  1684946915304
read      427.7   503.9    74.4   135.7   154.2   274.4   353.6   418.9   488.7   641.7  1011.9  1431.4  2025.5  3316.0 16647.5  75042.6    75000  1684946916807  1684946922080
read      473.8   575.7    74.4   140.6   161.6   297.3   387.9   464.0   546.2   724.2  1080.6  1624.2  2334.8  4605.9 15367.6  79983.0    80000  1684946923584  1684946928856
read      455.9   580.1    74.4   138.1   157.6   284.2   371.0   443.5   523.2   701.7  1050.7  1541.6  2286.5  4177.7 19965.6  84984.0    85000  1684946930360  1684946935642
read      594.4   870.9    74.4   153.8   180.9   341.5   475.1   591.9   752.8  1041.5  1425.4  1869.5  2847.8  9752.1 31090.9  87441.1    90000  1684946937146  1684946942433
read      786.9  1217.7    86.8   215.9   238.9   424.9   585.6  1304.1  1465.0  1591.9  1709.9  1872.3  2846.2 16382.6 35747.7  84517.6    95000  1684946943937  1684946949235
read      771.0  1201.4    74.4   208.0   231.1   414.6   565.3  1287.1  1452.6  1575.7  1696.9  1861.2  2823.4 15982.3 35227.0  86349.8   100000  1684946950742  1684946956038
read      780.8  1077.4    86.8   214.6   237.5   431.2   606.9  1336.8  1480.3  1596.1  1711.5  1873.1  2736.4 12713.1 32430.5  85211.4   105000  1684946957541  1684946962820
read      798.9   884.3    74.4   221.2   245.6   453.0   686.6  1409.0  1528.1  1636.5  1740.0  1904.6  2712.8 10962.7 27774.5  82637.3   110000  1684946964325  1684946969601
read      749.3  1012.7    74.4   207.0   229.4   410.1   562.2  1301.4  1451.3  1571.9  1687.4  1845.4  2738.0 12792.5 30695.2  88586.6   115000  1684946971104  1684946976384
read      733.5  1204.5    74.4   193.8   219.4   380.7   526.1   899.9  1393.8  1529.9  1643.9  1829.7  2761.1 16804.7 33143.7  91238.0   120000  1684946977887  1684946983161
read      755.8  1106.4    80.4   205.7   227.9   412.4   557.9  1286.4  1444.6  1567.5  1685.7  1843.6  2761.4 12864.1 32251.4  88002.8   125000  1684946984665  1684946989948
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 69.60%,1.52%,100.00%
