#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      986.1  1195.6   160.7   244.3   277.2   502.1   835.6   918.3   995.7  1902.3  3085.4  3377.9  3876.0 12942.8 25254.5  29900.6    30000
read      894.4  1127.0   160.7   244.0   275.6   482.7   797.8   887.1   955.1  1090.2  2784.1  3148.6  3746.2 11538.4 30770.2  34929.6    35000
read      820.5   979.9   160.7   246.5   278.8   491.6   757.2   855.9   930.8  1031.5  2090.5  2843.8  3602.1  9393.7 25124.8  39966.2    40000
read      785.5   946.3   148.8   244.8   277.0   476.9   688.5   828.3   905.8  1009.8  1953.6  2692.4  3940.2  7945.1 25560.1  44975.4    45000
read      977.6  1549.3   160.7   268.2   308.0   530.3   698.4   847.4   940.5  1053.3  2203.0  4555.8  6003.7 19710.2 36816.5  49939.4    50000
read     1256.8  2010.8   173.5   348.7   390.5   586.1   764.9   890.4   978.5  1119.8  4446.5  5007.2  7750.2 29997.1 37185.9  53350.8    55000
read     1378.2  2087.6   187.4   409.5   444.6   613.1   898.5  1008.5  1082.4  2535.8  4584.5  5062.8  7756.6 30570.2 37571.3  49871.8    60000
read     1322.1  1952.5   187.4   383.4   421.2   600.4   850.6   981.4  1061.8  2347.9  4540.0  4984.6  7673.2 27238.7 35846.2  51387.8    65000
read     1406.5  2019.5   187.4   437.4   467.0   612.0   956.5  1045.1  1104.5  3692.4  4618.7  5057.1  7753.2 29557.2 36578.6  48650.8    70000
read     1307.0  1971.8   173.5   385.4   421.2   584.9   851.8   945.3  1006.8  2258.7  4537.7  4973.7  7755.6 28902.3 37473.4  52236.4    75000
read     1324.6  1988.2   187.4   386.1   422.9   591.3   841.4   975.0  1053.5  2331.6  4533.4  5006.9  7790.3 29240.1 36289.6  51643.6    80000
read     1378.4  1983.7   187.4   411.1   447.8   614.6   912.1  1028.7  1098.3  3612.3  4582.9  5034.4  7815.0 28405.1 36480.6  49684.4    85000
read     1365.6  2037.8   202.4   404.2   439.1   610.4   892.6  1001.0  1078.3  3141.0  4571.6  5017.1  7765.5 30225.7 37448.7  50226.6    90000
read     1341.3  1971.7   173.5   392.2   432.4   594.5   873.9   984.7  1063.1  2499.3  4570.4  4998.9  7661.5 29469.6 36210.8  50840.4    95000
read     1295.7  1920.6   187.4   365.8   406.7   589.9   819.8   948.5  1022.7  2219.1  4512.3  4979.6  7705.1 24878.4 36495.3  52665.2   100000
read     1400.7  2033.8   173.5   422.5   459.1   621.0   940.7  1037.7  1100.7  3635.3  4607.9  5052.3  7807.9 29437.7 37366.0  48957.9   105000
read     1291.2  1875.5   173.5   371.0   407.3   590.9   814.6   946.3  1034.2  2304.6  4509.9  4933.9  7581.9 22807.7 36313.8  52785.2   110000
