#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      417.9   234.5   160.7   214.9   233.9   388.6   465.4   510.4   542.9   582.6   631.9   708.1   852.3  1618.5 10528.2  29960.4    30000
read      421.9   260.9   160.7   215.0   235.0   400.6   468.6   508.7   541.1   580.6   628.4   694.7   835.4  2000.8  8293.8  35049.8    35000
read      411.0   237.5   160.7   213.6   232.5   384.2   452.3   494.1   527.1   568.7   623.9   702.4   835.2  1342.1  9984.0  39918.6    40000
read      416.9   225.0   160.7   214.3   233.1   384.6   457.3   500.9   535.4   580.5   643.6   744.5   873.9  1318.0  9035.0  45128.6    45000
read      407.2   265.3   160.7   206.3   222.9   371.3   447.3   492.3   527.0   572.6   639.0   737.5   877.0  1562.1 11968.4  49844.0    50000
read      397.3   245.6   160.7   206.3   222.5   362.9   432.2   473.5   507.1   550.2   615.7   713.4   858.7  1873.1 10503.2  54949.2    55000
read      394.5   245.5   148.8   204.6   220.3   364.7   433.5   471.9   503.2   542.8   599.6   690.0   844.7  2160.9  9500.4  59783.2    60000
read      384.9   215.4   160.7   203.0   218.1   356.2   424.4   464.1   494.7   532.5   584.8   676.7   834.9  1409.6  7108.1  65068.2    65000
read      394.1   218.7   160.7   205.7   222.6   366.2   437.4   478.0   507.7   544.2   592.7   674.7   838.2  1453.8  9497.9  69908.6    70000
read      404.4   211.8   160.7   211.1   229.1   378.2   451.4   491.1   520.0   554.4   603.0   685.7   859.4  1502.3  8051.0  74924.2    75000
read      401.7   213.8   160.7   211.3   229.8   376.2   446.4   484.8   512.8   547.2   593.1   677.0   844.2  1415.1  9523.3  79961.2    80000
read      401.4   218.3   160.7   213.0   232.4   375.1   440.7   478.9   507.2   542.7   591.0   679.6   846.4  1711.3  8938.6  85045.8    85000
read      432.7   229.7   160.7   225.6   250.7   407.3   474.2   514.1   544.6   583.4   635.4   719.1   872.5  1635.2  9540.0  89919.7    90000
read      643.6   334.3   160.7   311.3   381.2   558.5   659.3   827.4   915.1   977.5  1033.8  1094.4  1205.0  2019.1 12313.1  91939.0    95000
read      712.0   355.0   173.5   441.6   472.2   590.6   815.0   944.2   989.7  1034.1  1076.5  1136.1  1243.0  3056.5 12790.2  91415.0   100000
read      704.7   379.0   173.5   438.0   465.1   584.3   816.7   935.6   978.4  1018.9  1064.3  1120.6  1235.0  2626.0 16558.8  92462.8   105000
read      700.8   348.3   173.5   447.3   475.2   578.1   745.5   942.4   986.9  1030.0  1070.7  1124.3  1221.0  2852.7 13289.7  93316.1   110000
