#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      420.4   230.1   160.7   214.6   235.3   401.5   471.5   513.6   544.6   581.4   625.2   685.7   808.5  1916.1 10268.9  29961.2    30000
read      414.4   257.7   160.7   213.3   232.2   381.6   454.1   499.3   534.9   579.6   637.1   723.3   848.6  1781.2 12232.0  35147.2    35000
read      424.3   217.9   160.7   214.2   233.6   398.4   469.9   513.3   546.8   591.3   651.0   738.7   875.9  1500.2  7544.1  39974.0    40000
read      414.1   226.3   160.7   210.7   228.7   384.8   457.5   500.5   534.9   579.4   640.5   731.5   865.8  1301.1  9350.2  44853.6    45000
read      390.4   271.1   160.7   199.7   214.7   356.5   427.2   469.4   503.4   546.0   609.6   700.1   836.4  2421.3 10531.8  49960.4    50000
read      399.5   272.7   148.8   202.6   218.2   372.3   445.0   484.5   515.2   555.1   610.6   691.3   831.0  1867.0 12335.1  54925.4    55000
read      393.3   215.3   148.8   203.9   219.6   366.9   437.5   476.6   507.1   545.8   600.0   684.3   824.6  1293.5  9348.3  60065.4    60000
read      384.1   217.6   148.8   201.7   216.5   353.5   422.6   462.6   493.4   532.9   589.4   680.2   822.5  1352.3  9079.4  64845.0    65000
read      396.9   230.2   160.7   205.2   222.0   367.9   440.7   482.3   512.9   549.8   601.5   689.0   856.4  1307.2  8073.8  70216.8    70000
read      397.1   193.8   148.8   207.3   224.7   369.9   443.2   483.8   512.8   548.6   597.9   679.9   847.6  1338.2  5905.7  75122.2    75000
read      391.0   204.0   148.8   208.2   225.6   365.5   433.6   471.3   500.5   534.8   580.2   654.9   807.0  1719.9  7217.0  79724.5    80000
read      406.1   216.9   160.7   216.8   236.9   381.6   449.1   486.4   513.5   547.2   592.7   672.9   839.7  1489.0  7467.9  84980.0    85000
read      549.3   310.0   160.7   254.9   292.5   497.6   575.4   635.1   708.1   810.5   922.3  1029.6  1167.9  1484.3 12002.4  90100.2    90000
read      568.2   310.1   160.7   285.6   331.1   509.9   621.6   705.3   760.3   817.3   880.0   959.6  1082.5  1925.3 12580.8  94505.2    95000
read      677.9   451.7   173.5   413.5   443.6   570.4   790.8   883.6   927.0   968.9  1010.0  1069.7  1171.5  2659.7 13220.2  94695.3   100000
read      684.6   345.1   173.5   404.8   441.9   580.8   767.2   887.3   945.3   990.5  1039.5  1095.2  1196.4  3031.7 14205.0  94662.1   105000
read      711.4   344.5   160.7   428.5   459.6   602.5   809.3   920.8   978.3  1033.1  1086.1  1154.9  1265.2  2323.7 14145.6  91773.4   110000
