#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      425.4   283.3   148.8   208.8   225.6   381.2   464.7   514.2   552.4   611.2   677.7   767.3   984.9  2781.9 10531.2  29965.0    30000
read      432.7   295.6   148.8   207.3   224.7   395.4   476.6   525.6   563.4   616.9   679.1   769.1   995.6  3087.7 10772.7  34931.6    35000
read      444.7   314.3   160.7   210.1   229.2   403.6   487.7   537.4   578.2   633.4   701.9   797.9  1008.9  3867.9 12308.9  40150.6    40000
read      437.6   268.4   148.8   209.3   227.5   403.1   490.6   537.9   576.7   627.6   689.6   784.2   951.0  2116.9 10870.4  44922.6    45000
read      423.2   238.8   148.8   208.5   225.9   384.3   466.9   516.7   553.8   607.4   677.0   776.9   941.5  1639.0  9028.5  49901.4    50000
read      422.7   319.4   160.7   207.1   223.9   382.2   465.1   512.7   548.6   600.5   673.1   778.2   961.9  1774.9 10018.6  54937.0    55000
read      410.2   265.7   148.8   205.4   221.6   368.3   448.0   495.6   531.9   579.8   647.9   756.5   965.2  2202.1  9962.4  60121.2    60000
read      406.7   247.0   148.8   206.0   222.2   369.2   447.0   492.6   527.1   572.7   637.2   738.6   922.6  1627.9  9888.3  64801.6    65000
read      407.5   257.3   148.8   205.6   222.3   371.7   450.4   495.7   529.0   570.9   629.5   728.2   926.2  1704.2  9595.5  69851.9    70000
read      410.2   214.6   148.8   207.1   225.3   377.9   454.1   499.0   532.9   575.7   633.3   727.9   907.8  1395.3  6194.3  74920.2    75000
read      404.0   218.0   148.8   207.7   225.5   374.2   447.7   489.9   521.4   561.0   619.5   706.1   868.5  1381.0  8008.6  80062.1    80000
read      619.3   417.5   148.8   237.7   281.8   537.1   687.4   791.8   844.4   908.9   999.8  1148.3  1653.9  2602.2 16421.1  83913.1    85000
read      398.0   231.3   148.8   209.4   228.2   367.8   433.3   473.5   504.8   543.1   598.0   683.0   846.8  1360.9  9950.3  89970.4    90000
read      657.2   351.7   148.8   356.5   410.7   566.7   709.0   845.9   911.2   968.2  1023.2  1088.6  1187.7  2180.9 13659.7  93040.6    95000
read      615.2   323.8   160.7   337.2   382.4   533.2   682.2   780.9   837.6   892.4   946.0  1010.6  1123.9  1972.7 12303.1  98808.8   100000
read      617.5   312.6   148.8   334.1   377.3   548.0   663.5   750.7   819.6   892.1   961.2  1035.6  1150.2  2175.1 12490.3 101126.6   105000
read      686.4   356.7   160.7   408.4   445.5   577.4   762.7   899.0   956.8  1003.3  1051.4  1100.5  1197.4  2820.4 15298.9  94955.2   110000
